"연번","지정번호","기관명","소재지","전화번호","의료기관종류"
"55","2010-60","의료법인 마리아의료재단 마리아의원(안양)","경기도 안양시 동안구 호계동 1051 평촌스포츠센터 8,9층","031-426-6555","의원"
"56","2010-61","목포한사랑병원","전남 목포시 백년대로 335(상동)","061-280-5500","병원"
"57","2010-62","현대여성아동병원","전남 순천시 장선배기 1길 8(조례동)","061-720-1111","병원"
"58","2010-63","의료법인 마리아의료재단  마리아병원","서울시 송파구 가락동 121-1,2,3 (지하2층~지상4층)","02-2152-6555","병원"
"59","2010-64","신세계여성병원","대구시 북구 산격3동 1287-4번지","053-954-7771","병원"
"60","2010-66","산본제일병원","경기도 군포시 산본로 374","031-390-3444","병원"
"61","2010-67","의료법인 마리아의료재단 마리아의원(부천)","경기도 부천시 원미구 중동 1106 위브더스테이트 103동 제2층 제상가1동 201호, 235호, 236호","032-361-6555","의원"
"62","2010-68","일산제일병원","경기도 고양시 일산동구 장백로 174","031-900-2000, 2034","병원"
"63","2010-69","한나산부인과의원","제주특별자치도 제주시 도령로 7(노형동)","064-711-7717","의원"
"64","2010-70","차의과학대학교 분당차병원","경기도 성남시 분당구 야탑동 351","031-780-5876","종합병원"
"65","2010-72","동원산부인과의원","경기도 고양시 일산동구 정발산동 1204-1","031-921-1515","의원"
"66","2010-73","학교법인 을지대학교병원","대전시 서구 둔산서로 95(둔산동)","042-259-1155","종합"
"67","2010-74","양정분 산부인과의원","경기도 이천시 중리동 224-3번지","031-635-5300","산부인과"
"68","2010-75","(의)인석의료재단 보람병원","울산광역시 남구 돋질로 336번길 10","052-278-0114","병원"
"69","2010-77","대구여성차병원","대구시 남구 두류공원로 24 (대명동)","053-656-4200","병원"
"70","2010-78","허유재병원","경기도 고양시 일산동구 장항동 780번지 지상3,4층","031-810-9898","병원"
"71","2010-79","이화병원","충남 천안시 서북구 충무로 165","041-570-1230","병원"
"72","2010-80","(성삼의료재단) 미즈메디병원","서울시 강서구 내발산동 701-4","02-2007-1840","종합병원"
"73","2010-81","미즈메디병원","서울시 강남구 대치동 1021번지 4,13호","02-3467-3800","병원"
"74","2010-82","한나여성아이병원","부산시 수영구 남천동 304","051-625-2300","병원"
"75","2010-83","경상대학교병원","경남 진주시 강남로 79(칠암동)","055-750-8294","종합병원"
"76","2010-84","유광사여성병원","서울시 강서구 화곡5동 1031-12호","02-2608-1011","병원"
"77","2010-85","미즈여성병원","대전시 서구 문정로2번길 95, 주안빌딩 7층(탄방동)","042-483-3575","병원"
"78","2010-86","청아미즈산부인과의원","충남 아산시 모종동 562-6(5층~10층)","041-547-2020","의원"
"79","2010-88","제일의료재단 제일병원","서울시 중구 묵정동 1-19외3, 31-7외2","02-2000-7453","종합병원"
"80","2010-90","가야자모의원","경남 진주시 주약동 156-6, 23번지","055-758-2222","의원"
"81","2010-91","분당제일여성병원","경기도 성남시 분당구 서현동 260-1","031-725-8556","병원"
"82","2010-92","메디아이여성병원","서울시 노원구 상계2동 373-71번지","02-936-2122","병원"
"83","2010-93","우리여성병원","경북 안동시 은행나무로 91(옥동)","054-850-3579","병원"
"84","2010-94","로즈메디산부인과의원","울산시 동구 방어진순환도로 747","052-234-3575","의원"
"85","2010-95","은병원","광주광역시 북구 두암1동 882-27","062-269-1500","병원"
"86","2010-96","분당서울대학교병원","경기도 성남시 분당구 구미동 300번지","031-787-3516","종합병원"
"87","2010-97","길병원","인천시 남동구 구월동 1198","032-460-2723","상급종합병원"
"88","2010-98","미래산부인과의원","경남 창원시 마산합포구 3·15대로 32","055-221-3777","의원"
"89","2010-99","임태균산부인과","울산시 동구 방어진순환도로 1125","052-251-5500","의원"
"90","2010-100","(재)한·호기독교선교회  일신기독병원","부산시 동구 좌천1동 471-1번지","051-630-0439","종합병원"
"91","2010-101","아름다운산부인과의원","강원도 춘천시 온의동 123-29","033-244-7800","의원"
"92","2010-102","시온여성병원","경기도 수원시 영통구 반달로 107","031-201-0791","병원"
"93","2010-105","인제대학교 일산백병원","경기도 고양시 일산서구 주화로 170 (대화동)","031-910-7194","종합병원"
"94","2010-106","우리들여성산부인과","경기도 광주시 경안동 32-3 광주크리닉 8층","031-768-7535","의원"
"95","2010-108","인제대학교 상계백병원","서울시 노원구 상계7동 761-1","02-950-1058","병원"
"96","2010-109","연세대학교원주의과대학 원주기독병원","강원도 원주시 일산동 162외 18필지","033-741-1180","종합병원"
"97","2010-110","학교법인 인제대학부속 부산백병원","부산시 부산진구 복지로 75","051-890-6528","상급종합"
"98","2010-112","서울대학교병원","서울시 종로구 대학로 101","02-2072-2667","종합병원"
"99","2010-113","학교법인 고황재단  경희의대부속병원","서울시 동대문구 경희대로 23","02-958-8324","종합병원"
"100","2010-114","마리여성의원","부산시 금정구 부곡동 295-2 거상빌딩 2층","051-517-4591","의원"
"101","2010-115","쉬즈메디병원","경기도 수원시 팔달구 장다리로 288(인계동)","031-231-7300","병원"
"102","2010-116","호산부인과","강원도 춘천시 석사동 796-4","033-264-1700","의원"
"103","2010-117","봄빛병원","경기도 안양시 동안구 호계동 1049-3","031-380-7300","병원"
"104","2010-118","메디우먼산부인과","부산광역시 해운대구 해운대로 602","051-731-4800","의원"
"105","2010-120","광주기독병원","광주광역시 남구 양림동 264","062-650-5000","종합병원"
"106","2010-121","이화 산부인과의원","충북 청주시 상당구 단재로 137(영운동)","043-223-6755","의원"
"107","2010-123","중앙산부인과의원","강원도 속초시 조양동 1503-9 외 2","033-637-9887","의원"
"108","2010-124","이상식산부인과","경북 김천시 모암동 161-3","054-433-3307","의원"
"109","2010-125","오즈산부인과의원","경남 김해시 계동로 203 (대청동)","055-312-0114","의원"
"110","2010-126","고려대학교 의과대학 부속병원","서울시 성북구 안암동 5가 126-1","02-920-5225","상급종합병원"
"111","2010-127","안산미즈피아산부인과","경기도 안산시 상록구 본오동 871-15","031-407-0077","의원"
"112","2010-128","김태홍산부인과","경북 김천시 모암동 153-4","054-434-4333","의원"
"113","2010-130","포항여성병원","경북 포항시 북구 포스코대로 269","054-274-7775","병원"
"114","2010-131","한마음창원병원","경남 창원시 성산구 원이대로682번길 21(상남동)","055-267-7333","종합병원"
"115","2010-132","그레이스병원","경기도 고양시 일산동구 중앙로 1073/1071","031-901-4000","병원"
"116","2010-133","경대여성산부인과","대구시 동구 동촌로 303, 2,3,4,6층(방촌동)","053-982-2242","의원"
"117","2010-134","에덴병원","광주광역시 북구 두암동 822-12","062-260-3178","병원"
"118","2010-135","다정산부인과의원","경기도 성남시 중원구 은행2동 1577","031-748-6466","의원"
"119","2010-136","미리안산부인과","경북 구미시 송원서로 2길, 31(원평동)","054-441-2277","의원"
"120","2010-137","그린산부인과","인천시 서구 건지로 371","032-574-3535","의원"
"121","2010-138","연세대학교 의과대학 세브란스병원","서울시 서대문구 신촌동 134(세브란스본관)","02-2228-5968","종합병원"
"122","2010-139","준산부인과","인천시 계양구 병방동 132-7","032-554-5300","의원"
"123","2010-140","새란산부인과","전북 전주시 완산구 효자동 3가 1531-4 우리들빌딩 6층","063-227-0135","의원"
"124","2010-141","의료법인 을지병원","서울시 노원구 하계1동 280-1","02-970-8427","병원"
"125","2010-142","김승연산부인과","인천시 서구 연희동 686-13","032-563-1251","-"
"126","2010-145","전북대학교병원","전북 전주시 덕진구 금암동 634-18","063-250-1308","병원"
"127","2010-146","서울아산병원","서울시 송파구 풍납2동 388-1","02-3010-5053","상급종합병원"
"128","2010-147","한양대학교병원","서울시 성동구 행당동 17번지","02-2290-8114","종합병원"
"129","2010-148","계명대학교동산병원","대구시 중구 달성로 56","053-250-7112","종합병원"
"130","2010-149","부산대학교병원","부산시 서구 아미동 1가 10번지","051-240-7280","종합병원"
"131","2010-150","미즈산부인과의원","충북 청주시 오창읍 중심상업로 17(양청리) 오창프라자2 4층","043-241-3030","의원"
"132","2010-153","연세미즈산부인과","충북 제천시 독순로 79 (중앙로2가)","043-652-6700","의원"
"133","2010-154","서울제일산부인과","경기도 안산시 단원구 고잔동 768 월드타운 B동 404호","031-414-4800","의원"
"134","2010-155","모태안여성병원","충북 청주시 서원구 복대로17번길 57(개신동)","043-272-0001","병원"
"135","2010-156","다인산부인과","경북 영주시 영주로 205-1(영주동)","054-637-6104","의원"
"136","2010-157","서울산부인과의원","서울시 노원구 중계1동 359-9 마들프라자빌딩 401호","02-951-5588","의원"
"137","2010-158","미래여성병원","경기도 파주시 금촌동 953-5","031-940-1700","병원"
"138","2010-160","춘천미래산부인과","강원도 춘천시 소양로4가 108-5","033-241-7677","의원"
"139","2010-162","모태산부인과","서울시 관악구 행운동 852-5","02-888-0204","의원"
"140","2010-164","베일러이화산부인과의원","경기도 성남시 분당구 정자동15-2 분당클리닉 3층","031-710-9670","의원"
"141","2010-166","초앤유여성병원","경기도 부천시 원미구 중동 1151-6","032-326-0095","병원"
"142","2010-167","조선대학교병원","광주광역시 동구 필문대로 365 (학동)","062-220-3114 062-220-3092","종합병원"
"143","2010-169","아가엄마산부인과","서울시 강북구 한천로 1041 (수유동)","02-999-8275","의원"
"144","2010-171","전남대학교병원","광주광역시 동구 제봉로 42 (학동)","1899-0000 062-220-6381","종합병원"
"145","2010-173","자모여성병원","부산시 수영구 광안4동 774-16","051-760-0637","병원"
"146","2010-174","우리산부인과","인천시 연수구 동춘동 936-3","032-818-5121","의원"
"147","2010-175","호산여성병원","서울시 강남구 신사동 617-5","02-546-3493","병원"
"148","2010-176","아이엘산부인과","서울시 영등포구 당산동6가 224","02-2068-5111","의원"
"149","2010-177","삼성서울병원","서울시 강남구 일원동 50","02-3410-2862","병원"
"150","2010-178","열린산부인과","경기도 안산시 단원구 선부동 1070-13","031-405-3572","의원"
"151","2010-181","미래여성병원","부산시 부산진구 가야대로 459","051-890-9994","병원"
"152","2010-182","가연관악산부인과","서울시 관악구 낙성대동 1600-1 CS타워 5층","02-885-7900","의원"
"153","2010-183","윤산부인과","충남 보령시 대천동 438-10","041-935-6232","의원"
"154","2010-184","인하대학교의과대학 부속병원","인천광역시 중구 인항로 27(신흥동3가)","032-890-2114","상급종합병원"
"155","2010-185","최영일산부인과","경기도 광주시 경안동 77-12","031-765-1030","의원"
"156","2010-186","동국대학교일산병원","경기도 고양시 일산동구 식사동 814번지","031-961-7950","종합"
"157","2010-187","조윤희산부인과","서울시 금천구 시흥동 889-13 2층","02-802-8892","의원"
"158","2010-188","쉬즈산부인과","경북 구미시 구미대로 220 (광평동)","054-461-7979","의원"
"159","2010-190","솔빛산부인과","전북 전주시 덕진구 송천동 1가 486-4","063-277-3478","의원"
"160","2010-191","진주제일병원","경남 진주시 진주대로 885번지","055-750-7165","종합병원"
"161","2010-192","구리장스여성의원","경기도 구리시 수택동 853번지","-","의원"
"162","2010-193","동국대학교 경주병원","경북 경주시 석장동 1091-1","054-770-8246","종합병원"
"163","2010-194","이기철여성의원","경기도 안양시 만안구 석수2동 326-13","031-473-0181","의원"
"164","2010-195","참산부인과소아과의원","경기도 성남시 분당구 수내동 63-1 금산프라자5층","031-711-5005","의원"
"165","2010-196","손성락산부인과","경북 상주시 무양동 286-8","054-536-7582","의원"
"166","2010-197","박금자산부인과","서울시 영등포구 대림2동 993-3","02-846-1503","의원"
"167","2010-198","속초제일산부인과","강원도 속초시 청학동 640-9","033-635-9050","의원"
"168","2010-199","예진산부인과","경기도 시흥시 정왕동 1861-8 트윈프라자B동3층","031-431-1134","의원"
"169","2010-200","좋은삼선병원","부산시 사상구 주례동 193-5","055-310-9402","병원"
"170","2010-201","연수산부인과","충북 충주시 번영대로 77(금릉동)","043-854-4616","의원"
"171","2010-203","한나산부인과","경기도 남양주시 호평동 640-1 리베로빌딩 5층","031-592-5100","의원"
"172","2010-204","미래아이산부인과","서울시 강서구 등촌1동 630-12 강서메디컬센터 2층","02-3665-2002","의원"
"173","2010-205","김정은산부인과의원","광주광역시 광산구 목련로 379,  3층","062-959-3773","의원"
"174","2010-206","엔젤산부인과","경기도 군포시 광정로 80","031-394-0075","의원"
"175","2010-208","목화산부인과의원","경남 진주시 상대동 297-5","055-755-8020","의원"
"176","2010-210","아이사랑산부인과의원","부산시 부산진구 가야대로 470","051-890-7000","의원"
"177","2010-211","김정화산부인과","서울시 관악구 중앙동 463-4 메카플러스3층","02-883-3307","의원"
"178","2010-212","에디스여성병원","부산시 사하구 당리동 336-10","051-206-0999","병원"
"179","2010-213","린여성병원","서울시 동대문구 답십리로 266","02-2244-1212","병원"
"180","2010-214","더미즈웰산부인과","부산광역시 북구 금곡대로 284(화명동)","051-365-3575","의원"
"181","2010-215","김지호산부인과의원","서울시 노원구 중계4동 154-28","02-939-0980","의원"
"182","2010-216","청담마리산부인과","서울시 강남구 청담동76-1","02-541-9114","의원"
"183","2010-219","꽃세산부인과의원","서울시 영등포구 대림1동 824-118 2층","02-836-5275","의원"
"184","2010-220","안산부인과","서울시 성북구 길음1동 531-33","02-913-6446","의원"
"185","2010-221","새아산부인과의원","대전시 대덕구 신탄진동 114-20","042-637-3535","의원"
"186","2010-222","김해미래산부인과의원","경남 김해시 분성로 316(서상동)","055-334-6969","의원"
"187","2010-223","미래아이여성병원","부산시 사하구 하단동 596-14","051-200-9999","병원"
"188","2010-224","루시나산부인과","경기도 포천시 소흘읍 송우리 105-5","031-543-3070","의원"
"189","2010-226","예인여성병원","경남 창원시 진해구 자은동 813-2","055-542-9000","병원"
"190","2010-227","필산부인과의원","인천시 부평구 부평대로 24, 403호(부평동,가나베스트텔)","032-528-0878","의원"
"191","2010-228","테크노여성의원","서울시 광진구 구의동 631-1 프라임프라자 412","02-455-1735","의원"
"192","2010-229","노은플러스산부인과","대전시 유성구 지족동 901-2 금강프라자 3층","042-477-3500","병원"
"193","2010-230","하나산부인과의원","경남 창원시 마산회원구 3·15대로 765-1 우성빌딩4층","055-295-0246","의원"
"194","2010-232","한나여성병원","전북 전주시 덕진구 덕진동1가 1275-10","063-250-3599","병원"
"195","2010-233","강동미즈여성병원","서울시 강동구 천호동 452-1","02-475-0077","병원"
"196","2010-234","이지산부인과","광주광역시 광산구 사암로 396","062-958-3000","의원"
"197","2010-235","우리들산부인과의원","인천시 서구 왕길동 638-1","032-562-8228","의원"
"198","2010-236","나리병원","경기도 김포시 돌문로 99","031-982-5700","의원"
"199","2010-237","금란산부인과","경기도 용인시 처인구 김량장동 81-4","031-335-1155","의원"
"200","2010-238","충남대학교병원","대전시 중구 대사동 640번지","042-280-7260","종합병원"
"201","2010-241","이인재산부인과","경상남도 양산시 덕계로 85(덕계동)","055-365-5547","의원"
"202","2010-244","성심산부인과의원","대구시 북구 복현동 459-1","053-956-8227","의원"
"203","2010-245","건국대학교병원","서울시 광진구 능동로 120-1","02-1588-1533","종합병원"
"204","2010-246","대학산부인과의원","대구시 수성구 지산동 1275-10 아주빌딩3층","053-782-0010","의원"
"205","2010-248","마리본산부인과","경기도 구리시 인창동 324-1","031-551-2700","의원"
"206","2010-249","프라임여성의원","경남 김해시 경원로 67 (내동 금상빌딩)","070-4386-7262","의원"
"207","2010-251","시화박산부인과","경기도 시흥시 정왕동 1726-4","031-319-7861","의원"
"208","2010-254","제일여성병원","부산광역시 해운대구 좌동로 66","051-743-7431","병원"
"209","2010-255","이화의대부속목동병원","서울시 양천구 목동 911-1","02-2650-2788","상급종합병원"
"210","2010-256","미나의료재단여수문화병원","전남 여수시 여서동 825","061-650-5155","병원"
"211","2010-257","경북대학교병원","대구시 중구 삼덕2가 50번지","053-420-5727","종합병원"
"212","2010-258","진산부인과의원","전북 전주시 완산구 서신동 781-2","063-251-0100","의원"
"213","2010-259","에덴산부인과의원","경기도 여주군 여주읍 홍문리 110 여주빌딩 401호","031-885-7722","의원"
"214","2010-261","가양산부인과의원","대전시 동구 우암로 273(가양동)","042-623-7766","의원"
"215","2010-262","으뜸산부인과의원","경남 양산시 서창로 193(삼호동)","055-365-1400","의원"
"216","2010-263","박애별산부인과의원","경기도 하남시 덕풍동 394-1 306호","031-795-5970","의원"
"217","2010-264","맘존여성병원","경북 경주시 성동동 143-7","054-743-6688","병원"
"218","2010-267","윤호병원","서울시 강남구 신사동 638-1","02-512-0500","병원"
"219","2010-268","안동병원","경북 안동시 앙실로 11(수상동)","054-840-0159","종합병원"
"220","2010-269","중앙산부인과의원","경기도 시흥시 대야동 455-8","031-313-3333","의원"
"221","2010-270","손산부인과의원","전남 순천시 중앙4길 13","061-753-2300","의원"
"222","2010-271","세창의료재단우성여성병원","경기도 안산시 단원구 고잔동 529","031-412-3085","병원"
"223","2010-272","미소맘산부인과","경기도 오산시 원동 391-1","031-374-8555","의원"
"224","2010-273","마리아산부인과","인천시 서구 가정동 516-9","032-575-8870","의원"
"225","2010-274","미래여성산부인과","충북 청주시 흥덕구 사직대로 42","043-267-2545","의원"
"226","2010-275","의료법인 명지의료재단 명지병원","경기도 고양시 덕양구 화정동 697-1","031-810-5025","종합병원"
"227","2010-276","라메르산부인과","서울시 영등포구 영등포본동 160-14","02-847-2801","의원"
"228","2010-277","효원산부인과","경기도 수원시 장안구 정자2동 1-9","031-256-5577","의원"
"229","2010-278","순여성병원","부산시 금정구 부곡동 225-24","051-515-0005","병원"
"230","2010-280","강남여성병원","경기도 수원시 팔달구 중부대로 96(인계동)","031-222-7575","병원"
"231","2010-281","학교법인 건양학원 건양대학교병원","대전시 서구 관저동로 158(관저동)","(1577-3330) (042-600-9381)","종합병원"
"232","2010-282","아름다운산부인과의원","강원도 원주시 단계동 870-3번지 2층","033-747-8855","-"
"233","2010-284","정우산부인과의원","경기도 안산시 고잔동 541 안산종합상가 1동 306호","031-411-0311","의원"
"234","2010-285","은산부인과의원","서울시 은평구 구산동 1-1 영진빌딩 4층","02-359-7175","의원"
"235","2010-287","해피맘산부인과의원","경북 구미시 신시로 74(형곡동)","054-458-0119","의원"
"236","2010-288","창원삼성병원","경남 창원시 마산회원구 팔용로 158","055-233-5114","종합병원"
"237","2010-289","참여성병원","경남 창원시 마산합포구 불종거리로 19","055-249-0600","병원"
"238","2010-290","광제산부인과의원","충남 천안시 서북구 서부18길 23","041-575-3200","의원"
"239","2010-291","의료법인 경동의료재단 효성병원","대구시 수성구 중동 105-2","053-766-7070","병원"
"240","2010-292","혜원의료재단 세종병원","경기도 부천시 소사구 소사본2동 91-121","032-340-1842","종합병원"
"241","2010-294","연세유정산부인과","충북 청주시 상당구 금천동 198-11","043-250-0001","의원"
"242","2010-297","한마음의료재단제일병원","전남 여수시 학동 43-2","061-689-8114","병원"
"243","2010-298","모아산부인과의원","전북 익산시 신동 807-24","063-840-0700","의원"
"244","2010-299","미즈모아산부인과","경남 양산시 양산역6길 9,6~8층(중부동)","055-365-0202","의원"
"245","2010-300","고려대부속 안산병원","경기도 안산시 고잔동 516","031-412-6752","병원"
"246","2010-301","필산부인과의원","경기도 안양시 만안구 안양2동 847-36","031-441-9111","의원"
"247","2010-302","엠산부인과의원","충남 서산시 남부순환로 1025","041-668-3100","의원"
"248","2010-303","충북대학교병원","충북 청주시 서원구 1순환로 776(개신동)","043-269-6001","종합병원"
"249","2010-304","봄여성병원","경기도 고양시 덕양구 화정동 1148-4","031-813-3000","병원"
"250","2010-305","이은지마리산부인과","대구시 수성구 달구벌대로 2397, KB손해보험빌딩 17층","053-745-5888","의원"
"251","2010-306","세브란스 산부인과의원","충북 충주시 갱고개로 140(연수동) 유성빌딩 3층","043-857-9401","의원"
"252","2010-307","더와이즈황병원","서울시 강서구 화곡동 114-12","02-2600-5000","병원"
"253","2010-308","안중산부인과의원","경기도 평택시 안중읍 안중로131번길 14-15","031-683-7366","의원"
"254","2010-309","하나플러스산부인과","경남 양산시 양산역로 101(중부동)","055-386-6001","의원"
"255","2010-310","이브앤아담여성의원","부산광역시 해운대구 센텀2로 20,1103호(우동,센텀타워메디컬)","051-743-7585","의원"
"256","2010-311","(의)갑을의료재단 갑을장유병원","경남 김해시 장유로 167-13 (부곡동)","055-310-6114","병원"
"257","2010-312","포미즈여성병원","서울시 양천구 목2동 513번지","02-2651-7500","병원"
"258","2010-313","광명성애병원","경기도 광명시 철산3동 389","02-2680-7132","종합병원"
"259","2010-314","의료법인 성애병원","서울시 영등포구 신길1동 451-5호","02-840-7132","병원"
"260","2010-315","새봄산부인과","경북 구미시 송원서로 94 (원평동)","054-457-2300","의원"
"261","2010-317","제이미즈산부인과","서울시 금천구 독산동 291-5 시티렉스 408호","02-803-2603","의원"
"262","2010-319","강원대학교병원","강원도 춘천시 효자3동 17-1번지","033-258-2000","종합병원"
"263","2010-320","미래로병원","부산광역시 북구 금곡대로 15(덕천동)","051-330-5000","병원"
"264","2010-321","강동성심병원","서울시 강동구 길동 445번지","02-2224-2342","종합병원"
"265","2010-322","새봄여성병원","인천시 부평구 마장로 316(산곡동)","032-521-7200","의원"
"266","2010-323","남정우산부인과","경기도 남양주시 호평동 640 메인 시네마타워 5층","031-559-1004","의원"
"267","2010-324","우먼플러스산부인과","경기도 수원시 장안구 조원동 762-17","031-248-8100","의원"
"268","2010-325","인제대학교 해운대백병원","부산광역시 해운대구 해운대로 875","051-797-2610","종합병원"
"269","2010-326","미래안산부인과","인천시 서구 왕길동 639-4","032-567-5732","의원"
"270","2010-327","연세대학교의과대학 강남세브란스병원","서울시 강남구 도곡1동 146-92","02-2019-3430","병원"
"271","2010-328","여성메디파크병원","대구시 수성구 범어1동 595-27","053-740-7764","병원"
"272","2010-329","우먼필산부인과","경기도 오산시 원동 764-6","031-378-5950","의원"
"273","2010-330","청화병원","서울시 동작구 노량진2동 311-8","02-815-3788","병원"
"274","2010-331","아이산 산부인과","경기도 고양시 일산서구 덕이로 10 (덕이동)","031-916-9400","의원"
"275","2010-332","고려대학교 구로병원","서울시 구로구 구로동로 148","02-2626-2014","종합병원"
"276","2010-333","아란태산부인과","서울시 영등포구 문래동3가 77-1번지","02-2630-6600","의원"
"277","2010-335","행복한산부인과의원","경남 진해시 용원동 1211-4","055-542-2740","의원"
"278","2010-336","미소여성병원","부산시 연제구 연산4동 739-7번지외1필지","051-862-2002","의원"
"279","2010-337","원광대학교 의과대학 산본병원","경기도 군포시 산본로 321","031-390-2359","종합병원"
"280","2010-338","엠앤비여성병원","인천시 계양구 계산동 1074-1","032-552-3500","병원"
"281","2010-341","서울의료원","서울시 중랑구 신내로 156","02-2276-7087","종합병원"
