,?ÄÏ∂úÏùºÎ∞??ÄÏ∂úÏ£º??Ï°∏ÏóÖ?êÏàò,?¨Íµê?°ÎπÑ,?∏Íµ¨,?êÍ???ÏßÅÏû•Í∞Ä?ÖÏûê,ÏßÄ????ÖÏûê,?¨Ìöå?®Ï≤¥Ï∞∏Ïó¨???òÏ∂ú,?òÏûÖ,?§ÏßàÍµ?Ç¥Ï¥ùÏÉù??GDP),1?∏ÎãπÏ£ºÍ±∞Î©¥Ï†Å,Í≥†Îì±ÍµêÏú°?¥Ïàò???êÏûêÎ£?e?¨Îãù?úÏû•Í∑úÎ™®,Î¨∏Ìôî?¨Í?ÏßÄÏ∂úÎ•†,ÏßÄ?àÍ≥Ñ???§Î¨∏?îÏ∂ú?ùÏïÑ???ÑÍµ≠ ?¥ÌòºÍ±¥Ïàò ,TV (%),?ºÎîî??(%),?†Î¨∏ (%),?∏ÌÑ∞??(%),?§Îßà?∏Ìè∞ (%),?†ÏÜå?ÑÎ??ëÎπÑ,?∏ÎÖÑÎ∂Ä?ëÎπÑ,?∏Î†π?îÏ????¨Îßù?êÏàò,?†ÌòºÎ∂ÄÎ∂Ä???©Í≥Ñ),Ï¥àÌòºÎ∂ÄÎ∂Ä ?âÍ∑† Ï∂úÏÇ∞?êÎ???ÎßûÎ≤å??Î∂ÄÎ∂Ä ??Ï£ºÌÉù?åÏú† ?†ÌòºÎ∂ÄÎ∂Ä ???§ÏóÖÎ•?1?∏Í?Íµ?ÎπÑÏú®,Ï∂úÏÉù?ÑÏàò(Î™?,?ºÏù∏Í±¥Ïàò(Í±?,Ï£ºÌÉùÎß§Îß§Í∞ÄÍ≤©Îèô??Ï∂úÏÇ∞??,,,,,,,,,,,,,,
2010,,,,208718,49554112,,88694835,30519406,,466383762,425212160,1426618,28.5,39.7,91.38,2245833,4.25,,20312,116858,82.6,16.2,18.5,45.2,-,22,14.8,67.2,255405,,,,,3.7,23.9,470171,326104,1.9,1.226
2011,8.75,13.5,558932,201266,49936638,,125900203,40538413,46.6,555213656,524413090,1479198.4,,40.4,98.83,2451364,4.13,0.418,22014,114284,81.6,14.8,16.5,44.4,-,21.2,15,71,257396,,,,,3.4,,471265,329087,6.9,1.244
2012,4.75,3.75,566324,190395,50199853,,160836393,49573644,,547869792,519584473,1514736.6,31.7,41.7,92.38,2747766,4.2,0.411,22908,114316,81.4,12.5,12.2,-,52.6,20.6,15.6,76.1,267221,,,,,3.2,,484550,327073,0,1.297
2013,3,6.5,555142,185960,50428893,,184333563,53303425,50.1,559632434,515585515,1562673.6,,43.1,98.55,2947083,4.28,0.401,21290,115292,79.4,11.8,10,-,65.8,20,16.3,81.5,266257,,,,,3.1,,436455,322807,0.3,1.187
2014,7,23.5,557234,182297,50746659,,183622983,51096341,,572664607,525514506,1612717.5,33.5,44.6,53.22,3214167,4.35,0.397,21174,115510,78.4,9.5,8.2,-,70.8,19.4,16.8,87,267692,,,,,3.5,,435435,305507,1.7,1.205
2015,6.75,30.25,576023,178346,51014947,19622569,181165551,48949590,48.9,526756503,436498973,1658020.4,,45.5,37.04,3485119,4.44,0.396,19729,109153,76.2,8.9,7.1,-,73.7,18.8,17.5,93,275895,1471647,0.82,595850,640709,3.6,27.4,438420,302828,3.5,1.239
2016,3.5,9.75,580695,180606,51217803,20345309,169794557,45567250,,495425940,406192887,1706880.3,33.2,46.9,43.47,3487574,4.53,0.402,19431,107328,75.4,10.1,6.6,-,81,18.3,18,98.4,280827,1436948,0.8,603281,633642,3.7,28.1,406243,281635,0.7,1.172
2017,13.5,5.25,574009,186703,51361911,20984258,,,49.7,573694421,478478296,1760811.5,31.2,47.7,50.85,3699183,5.27,0.406,18440,106032,77.2,10.6,5.2,-,81.4,17.9,18.8,105.1,285534,1379766,0.78,585957,616621,3.7,28.7,357771,264455,1.5,1.052
2018,3.5,-4.25,,194852,51606633,21539573,,,,604859657,535202428,1807735.9,31.7,49,64.9,3845009,5.76,0.402,18079,108684,76.6,10.1,4.2,-,84.6,17.5,19.6,111.9,298820,1322406,0.74,594409,594721,3.8,29.2,326822,257622,1.1,0.977
2019,7.5,-2.25,,,,21908362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
